exposure	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	meta_p	observational_b	observational_se	observational_p	UKB_b	UKB_se	UKB_p	meta_direction	metabolite	ng_anno_label	INTERVAL_label	UKB_label	ng_anno_raw.label	ng_anno_class	ng_anno_subclass	ng_anno_label.no.units	ng_anno_derived
whr	Concentration of large VLDL particles (mol/l)	0.261435628218042	0.0552267385314194	2.20290100584198e-06	0.116974977878981	0.0415962742297292	0.00492114917916094	2.09660601686424e-07	1.14578357069626e-09	4.8397085132142e-11	4.68549589950021e-115	0.624814246569376	0.163346577938857	0.000130727944566998	+ + + + +	lvldlp	lvldlp	lvldlp	lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration	no
whr	Phospholipids in large VLDL (mmol/l)	0.256132929982708	0.0538815272410934	1.997949622974e-06	0.116974977878981	0.0415962742297292	0.00492114917916094	1.91114551640475e-07	0.0122682207996458	0.000520187771380134	2.9675325040587e-114	0.636525506212971	0.163550077747744	9.94498104945492e-05	+ + + + +	lvldlpl	lvldlpl	lvldlpl	lvldlpl	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Phospholipids	no
whr	Triglycerides in large VLDL (mmol/l)	0.258868570407554	0.0540756801391041	1.69163622264553e-06	0.0878180003162288	0.0341076326307929	0.0100317892742104	3.20596635431867e-07	0.0403278159136184	0.00169908420621351	1.36188575629921e-115	0.600620696756215	0.160780093956592	0.000187219183698234	+ + + + +	lvldltg	lvldltg	lvldltg	lvldltg	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Triglycerides	no
whr	Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)	0.14362646100953	0.0569554591948887	0.0116778308545576	0.32587706863863	0.0386630625266209	3.49703039848252e-17	1.7699927699246e-17	0.223969365897465	0.0120819154616553	2.97741220452489e-73	0.370288881461302	0.115445960840796	0.00133910343073651	+ + + + +	mufa	mufa	mufa	mufa	Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)	Fatty acids	Fatty acids	MUFA	no
whr	Free cholesterol in medium VLDL (mmol/l)	0.274959700654047	0.0558899242405597	8.66924883278849e-07	0.277890253723019	0.038775522451725	7.6860165849776e-13	2.85534850160008e-17	0.0127782730067922	0.000535761927842577	1.27055832567986e-116	0.383162038626189	0.0942566129473772	4.80130045244432e-05	+ + + + +	mvldlfc	mvldlfc	mvldlfc	mvldlfc	Free cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Free cholesterol	no
whr	Total lipids in medium VLDL (mmol/l)	0.270141117144321	0.0578759799046939	3.04759108136488e-06	0.385042183112114	0.0492534030143477	5.38505494187541e-15	7.64056306911046e-19	0.102493020662867	0.00425559429041587	1.02661049718164e-118	0.505627489378366	0.127146037483339	6.98647353932163e-05	+ + + + +	mvldll	mvldll	mvldll	mvldll	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total lipids	no
whr	Triglycerides in medium VLDL (mmol/l)	0.286168959933335	0.0555014942661153	2.52201922946309e-07	0.172658055324893	0.0387686386429434	8.44621829530715e-06	5.93776334612394e-11	0.0571714502906801	0.00234621879159888	2.85590059876581e-121	0.590876110185677	0.155726086160843	0.000148042864203892	+ + + + +	mvldltg	mvldltg	mvldltg	mvldltg	Triglycerides in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Triglycerides	no
whr	Total lipids in small HDL (mmol/l)	0.129205400635226	0.0447447049639629	0.00388176900849083	0.144385479358066	0.0325493292128601	9.1689584858133e-06	6.46031758542997e-07	0.0330167900275284	0.00192129838199197	1.31953415096337e-63	0.269677346473102	0.077503946766478	0.000502293194945176	+ + + + +	shdll	shdll	shdll	shdll	Total lipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Total lipids	no
whr	Triglycerides in small HDL (mmol/l)	0.304270797546656	0.0523780323199301	6.2798323894709e-09	0.332872257322892	0.0449818201237821	1.36029813772183e-13	4.22952006291623e-20	0.00503232930058309	0.00020799606949411	1.04902303206647e-119	0.629777135136382	0.154833436508233	4.75305688665383e-05	+ + + + +	shdltg	shdltg	shdltg	shdltg	Triglycerides in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Triglycerides	no
whr	Total lipids in small VLDL (mmol/l)	0.300640633709317	0.0602173122048138	5.95734872853414e-07	0.369440427330591	0.0489568681305066	4.47993545615163e-14	1.22954234465998e-18	0.074944472124816	0.003043429317511	1.29820878609057e-123	0.537879395274332	0.135713923647206	7.39107475498786e-05	+ + + + +	svldll	svldll	svldll	svldll	Total lipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Total lipids	no
whr	Triglycerides in small VLDL (mmol/l)	0.314564825104797	0.0567053977437296	2.90027789291004e-08	0.241951044664007	0.0427982047508653	1.57397224370532e-08	1.65812712343953e-14	0.0345129759072152	0.00140752628598538	1.16892692269136e-122	0.559450305063295	0.152757417945444	0.000249917358481382	+ + + + +	svldltg	svldltg	svldltg	svldltg	Triglycerides in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Triglycerides	no
